model,best_val_dice,best_val_iou,best_epoch,final_val_dice,final_val_iou,final_val_loss,avg_epoch_time_s,epoch_to_dice_0_50,epoch_to_dice_0_60
ResNet18 (with skip),0.3723390373853174,0.2513439422196681,18,0.3407552493090677,0.2280170886528374,0.0149026905546093,336.2448513150215,,
CNN18 (no skip),0.2537646369114149,0.1705679866891022,20,0.2537646369114149,0.1705679866891022,0.0179316921178067,397.8223276615143,,
