epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,time_s
1,0.0009938441702975688,0.09573565096522005,0.0018726503439284814,0.0015948642047051657,0.040639814616429924,4.761967199351898e-05,2.3882824161531474e-05,478.19043159484863
2,0.0009755282581475768,0.03605492017155843,0.013968157089645859,0.008574835341297106,0.0627040814350147,0.042304036244381185,0.02265466667370557,563.5418593883514
3,0.0009455032620941839,0.03175886630145729,0.04553327280339216,0.028152930598342275,0.05756783407956067,0.0733274653671021,0.043257399247032285,535.4531664848328
4,0.0009045084971874737,0.02904504997586402,0.06925396556704894,0.043707147920770385,0.031219767314372676,0.13501261515664592,0.08633082756341104,557.086686372757
5,0.0008535533905932737,0.026049138750615732,0.11258381643844083,0.07253105391282236,0.03307506574852632,0.121988517018238,0.07682239278811638,452.0963485240936
6,0.0007938926261462366,0.024341779828538777,0.13571808180062492,0.08768722731982032,0.026244878861131055,0.07767892432633068,0.047988680026685215,278.4886953830719
7,0.0007269952498697733,0.02292807593486673,0.1558232060189479,0.10039932718670276,0.019348037161744467,0.18018534500424851,0.11609364808395099,282.58888602256775
8,0.0006545084971874737,0.021712218872974077,0.20244762429060328,0.13202348968661767,0.018510107080092524,0.23688495264268747,0.1576737280805955,277.31135749816895
9,0.0005782172325201155,0.021192075384161506,0.2268763675477908,0.14858858392450405,0.01881789451114612,0.21407985576603672,0.1367720410522848,275.58610677719116
10,0.0005,0.020224972854956624,0.23927528431102546,0.15629470487539476,0.017717518926699562,0.2622329932775828,0.1744239076529399,273.420814037323
11,0.0004217827674798847,0.01967645982057732,0.25830167997202635,0.17000152282587147,0.018074024653080667,0.28364443321629323,0.18930689190136324,275.7302477359772
12,0.00034549150281252633,0.018543418227365834,0.287403626040179,0.1911526223088619,0.016783728697659945,0.2797017967937016,0.18545349067685626,278.4326570034027
13,0.00027300475013022663,0.018153401887364282,0.30283636594426,0.20153873271213335,0.017364926839081366,0.25110240642092013,0.1627593056695296,273.19881439208984
14,0.00020610737385376348,0.01775712161832857,0.3198804043812506,0.21429360072736175,0.016708503781568886,0.22290020015570197,0.1454604242255192,273.0068345069885
15,0.00014644660940672625,0.017226326262309494,0.3264804615996228,0.219392409498282,0.015245871950346645,0.3205551326569944,0.21414997930278873,273.05431747436523
16,9.549150281252631e-05,0.016844106849056687,0.3436843572995929,0.23145166685735377,0.015116556390824884,0.3337750977808886,0.22314944833812148,273.98736238479614
17,5.4496737905816096e-05,0.016608394009616546,0.3561172556596827,0.24032331767578985,0.015002353891435236,0.31726471032246506,0.21119053292982648,275.005676984787
18,2.447174185242323e-05,0.01631680627582822,0.3558231403942905,0.2404750409389461,0.014907969899549343,0.3723390373853174,0.2513439422196681,274.9497547149658
19,6.15582970243117e-06,0.016049044256924046,0.3691208267974978,0.2501287439985263,0.014870142342873139,0.35783420252327874,0.2409879613925915,279.73929595947266
20,0.0,0.01601253629246621,0.36766464111853236,0.24924304892548077,0.014902690554609393,0.3407552493090677,0.2280170886528374,274.027713060379
