epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.4815555878067017,45.556,1.158480554485321,57.31,20.217220067977905
2,1.1307001525497435,59.706,0.9023096096038818,68.26,19.046379566192627
3,1.0099020003509522,64.032,0.8085929211616516,71.78,18.348498344421387
4,0.9283670357131958,67.014,0.8036995397567749,71.47,18.040004014968872
5,0.8822188923645019,68.966,0.7453051211357117,73.99,18.463037967681885
6,0.83657963514328,70.546,0.8074465890884399,71.54,19.198596000671387
7,0.7987703215408325,72.022,0.6748798012733459,76.55,19.399795293807983
8,0.774779699344635,73.138,0.6697496605873108,76.03,19.71991491317749
9,0.745560369682312,73.844,0.62500476770401,78.51,19.784680604934692
10,0.7224506081581116,74.916,0.6263571792602539,78.4,20.00022315979004
11,0.7019374700927734,75.586,0.6224871586799622,78.03,20.69693613052368
12,0.6805031539535522,76.558,0.6156853608608246,78.53,20.800869941711426
13,0.6673770586204529,76.97,0.6210481812477112,78.76,20.77624750137329
14,0.6477572058868408,77.482,0.5969571856975555,79.87,21.033844709396362
15,0.6378655629348755,77.912,0.6059813229560852,79.34,20.9536874294281
16,0.617413094215393,78.46,0.5963594484329223,79.15,20.831449031829834
17,0.6039237371635438,79.156,0.5554249083518982,80.64,21.17312240600586
18,0.5959194644165039,79.558,0.5480726785182953,81.05,20.759833097457886
19,0.5830600333499908,79.9,0.5549794691562653,81.24,16.465048789978027
20,0.57487014087677,80.242,0.537307687997818,81.38,16.46110963821411
