epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.7851011135101318,35.364,1.440723726463318,47.82,35.491578102111816
2,1.4407780937957764,47.382,1.2358448890686036,55.85,17.052138805389404
3,1.3014740894317627,53.0,1.1587574993133545,57.92,17.951895236968994
4,1.2082324160003661,56.662,1.077822723388672,61.7,17.658233642578125
5,1.1419319884490966,59.528,0.9833791868209839,65.33,17.284069538116455
6,1.0832340578460693,61.646,1.0523426855087281,62.33,17.20579171180725
7,1.040307921104431,63.088,1.0233636178970338,63.92,16.849397897720337
8,1.0031481413650514,64.21,0.9153661747932434,67.48,16.644344329833984
9,0.9719180631637573,65.508,0.9424300384521485,66.42,16.388556957244873
10,0.9461734009552002,66.636,0.8449638200759888,70.56,16.844890356063843
11,0.9209371658325195,67.36,0.827881953048706,70.82,17.006932258605957
12,0.8953430801773071,68.38,0.8244871943473816,71.13,17.01317286491394
13,0.8728351750183105,69.472,0.8037044232368469,72.02,16.94528818130493
14,0.8517825494766236,70.288,0.7653568551063538,73.14,17.44661569595337
15,0.8326794456481934,70.702,0.7615644961357116,73.32,16.805134534835815
16,0.816057337551117,71.312,0.747158737373352,73.81,17.176607847213745
17,0.796012516078949,72.274,0.7821324788093567,72.65,17.320149660110474
18,0.7880678495788574,72.382,0.7076739497184753,75.08,17.176641702651978
19,0.7731923845672607,72.888,0.7280880459785462,74.02,18.29997944831848
20,0.7622237372970581,73.314,0.7533086833953857,73.3,16.87244153022766
