epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,1.5933150770568847,41.784,1.1908764974594117,56.61,20.692174673080444
2,1.1773579346084595,57.914,0.9394307671546936,66.68,38.77939558029175
3,1.0353048187065124,63.19,0.842093402671814,70.47,41.49440670013428
4,0.9490827754592895,66.49,0.8817130136489868,68.88,40.0920250415802
5,0.894016261138916,68.45,0.7630542174339294,72.4,45.172109842300415
6,0.8426502932357788,70.086,0.8036278614997864,71.22,41.5847954750061
7,0.809698294506073,71.448,0.6944459056854249,75.61,30.157763242721558
8,0.7794063507461548,72.848,0.6705367992401123,76.29,38.74130034446716
9,0.7513311137962342,73.678,0.6828913838386536,76.28,40.73948812484741
10,0.7204732553482056,74.778,0.6582497678756714,76.88,31.073424339294434
11,0.6946319510269165,75.674,0.6330419630050659,77.87,40.77958106994629
12,0.6762150512695313,76.408,0.6623496794700623,77.06,43.13268280029297
13,0.6578308681488038,77.076,0.6186456315040588,78.59,43.58871531486511
14,0.6330022914505005,78.018,0.6083373621463776,79.16,49.96515440940857
15,0.6139295693969726,78.71,0.5684245177745819,80.01,42.43268156051636
16,0.594631636428833,79.234,0.5798651183128357,80.01,39.02606177330017
17,0.577287764453888,79.772,0.5360765840053558,81.46,51.539016246795654
18,0.5682747467613221,80.382,0.5644960907459259,80.6,24.768086433410645
19,0.5534026808452607,80.876,0.5485614912509919,81.65,29.995763540267944
20,0.5393135724830628,81.022,0.5375641389846801,82.08,44.063692569732666
